bello;1
brutto;-1
vita;1
morte;-1
felice;1
triste;-1
chiaro;1
scuro;-1
piacevole;1
fastidioso;-1
stupendo;1
schifoso;-1
piacere;1
dolore;-1
godere;1
soffrire;-1
